C_LOC_MEV;NOMBRE DEL PROGRAMA;PROGRAMA;PROGRAMA II;ENTREGADA;AÑO;N;TP;PU;AR;UP;MP
17823;RISSO PU I  - Segunda Entrega;PU;PU;02/07/2020;2020;0;0;6;0;0;0
12797;ALGORTA PU I – Tercer Entrega;PU;PU;01/05/2020;2020;0;0;1;0;0;0
11827;La Tablita N 1(Piedras Coloradas) – Segunda Entrega;NÚCLEO;NÚCLEO;18/03/2020;2020;1;0;0;0;0;0
18980;SAUCE DE BATOVI AUTOCONSTRUCCION N IV;NÚCLEO;AUTOCONSTRUCCIÓN;04/03/2020;2020;1;0;0;0;0;0
15965;RINCÓN DE VALENTIN PU I;PU;PU;26/02/2020;2020;0;0;1;0;0;0
3630;Soca Cooperativa Saneamiento;SANEAMIENTO;SANEAMIENTO;26/02/2020;2020;0;0;0;0;0;0
8521;CASUPÁ-CONEXION SANEAMIENTO SEG ETAPA;SANEAMIENTO;SANEAMIENTO;26/02/2020;2020;0;0;0;0;0;0
9621;Mariscala Saneamiento – 2da Entrega;SANEAMIENTO;SANEAMIENTO;26/02/2020;2020;0;0;0;0;0;0
15523;CONSTITUCIÓN  NIII;NÚCLEO;NÚCLEO;21/02/2020;2020;34;0;0;0;0;0
139009;PASO DE ARRIERA-PUEBLO DE LOS SANTOS PU I;PU;PU;20/02/2020;2020;0;0;9;0;0;0
18695;TAMBORES N IV;NÚCLEO;NÚCLEO;20/02/2020;2020;50;0;0;0;0;0
4721;NOBLIA N V;NÚCLEO;NÚCLEO;19/02/2020;2020;49;0;0;0;0;0
4721;NOBLIA N VI;NÚCLEO;NÚCLEO;19/02/2020;2020;47;0;0;0;0;0
4721;NOBLIA PU I;PU;PU;19/02/2020;2020;0;0;6;0;0;0
4721;NOBLIA AR I;AR;AR;19/02/2020;2020;0;0;0;6;0;0
18723;CURTINA N III;NÚCLEO;NÚCLEO;13/02/2020;2020;34;0;0;0;0;0
5824;Cufré I Saneamiento;SANEAMIENTO;SANEAMIENTO;22/12/2019;2019;0;0;0;0;0;0
18722;Ansina V Saneamiento;SANEAMIENTO;SANEAMIENTO;22/12/2019;2019;0;0;0;0;0;0
12797;ALGORTA PU I – Segunda Entrega;PU;PU;20/12/2019;2019;0;0;2;0;0;0
12797;ALGORTA AR II;AR;AR;20/12/2019;2019;0;0;0;2;0;0
11621;QUEBRACHO PU I – Segunda Entrega;PU;PU;20/12/2019;2019;0;0;2;0;0;0
6521;EL CARMEN PU I – Tercer Entrega;PU;PU;20/12/2019;2019;0;0;10;0;0;0
14422;LASCANO PU I – Segunda Entrega;PU;PU;20/12/2019;2019;0;0;3;0;0;0
17721;EGAÑA PU I – Segunda Entrega;PU;PU;20/12/2019;2019;0;0;5;0;0;0
16926;VILLA MARIA PU I;PU;PU;20/12/2019;2019;0;0;6;0;0;0
6521;EL CARMEN AR IV;AR;AR;20/12/2019;2019;0;0;0;2;0;0
16961;INTERSECCION RUTA 1 Y 3 AR I – Primera Entrega;AR;AR;20/12/2019;2019;0;0;0;1;0;0
6521;EL CARMEN-INMUEBLE 772-INC – GRUPO ROLON;OTROS;INC;20/12/2019;2019;0;0;0;0;0;0
17521;CARDONA-MINISTERIO DEL INTERIOR;OTROS;CONVENIO;20/12/2019;2019;0;0;0;0;0;0
189003;COLONIA EMILIANO ZAPATA-INM.446-FRACC.2-INC;OTROS;INC;20/12/2019;2019;0;0;0;0;0;0
3625;EMPALME OLMOS PU I;PU;PU;19/12/2019;2019;0;0;2;0;0;0
11827;La Tablita N 1(Piedras Coloradas);NÚCLEO;NÚCLEO;19/12/2019;2019;1;0;0;0;0;0
3630;SOCA PÙ I;PU;PU;19/12/2019;2019;0;0;1;0;0;0
3630;SOCA N I;NÚCLEO;NÚCLEO;19/12/2019;2019;54;0;0;0;0;0
5622;FLORENCIO SANCHEZ – CARDONA UP I – Segunda Entrega;UP;UP;19/12/2019;2019;0;0;0;0;5;0
4821;ACEGUA MINISTERIO DEL INTERIOR;OTROS;CONVENIO;19/12/2019;2019;0;0;0;0;0;0
189004;TACUAREMBÓ COLONIA  LOS CHARRUAS – INC;OTROS;INC;19/12/2019;2019;0;0;0;0;0;0
2833;MONES QUINTELA N II;NÚCLEO;NÚCLEO;12/12/2019;2019;27;0;0;0;0;0
8622;FRAY MARCOS AR IV;AR;AR;10/12/2019;2019;0;0;0;2;0;0
18722;ANSINA N VI – Segunda Entrega;NÚCLEO;NÚCLEO;10/12/2019;2019;1;0;0;0;0;0
8622;FRAY MARCOS PU I – Segunda Entrega;PU;PU;10/12/2019;2019;0;0;17;0;0;0
8521;CASUPÁ PU I – Segunda Entrega;PU;PU;10/12/2019;2019;0;0;7;0;0;0
8521;CASUPÁ-CONEXION SANEAMIENTO PRIMERA ETAPA;SANEAMIENTO;SANEAMIENTO;10/12/2019;2019;0;0;0;0;0;0
2621;BALTASAR BRUM PU;PU;PU;26/11/2019;2019;0;0;12;0;0;0
9621;Mariscala Saneamiento;SANEAMIENTO;SANEAMIENTO;24/11/2019;2019;0;0;0;0;0;0
15931;CELESTE AUTOCONSTRUCCION;NÚCLEO;NÚCLEO;22/11/2019;2019;1;0;0;0;0;0
169004;COLONIA OMAR AGUIRRE-INC-PL;OTROS;INC;22/11/2019;2019;0;0;0;0;0;0
3723;JUANICO NIII;NÚCLEO;NÚCLEO;21/11/2019;2019;34;0;0;0;0;0
18992;P. DE CARRETERA N II;NÚCLEO;NÚCLEO;15/11/2019;2019;16;0;0;0;0;0
18992;P. DE CARRETERA AR II;AR;AR;15/11/2019;2019;0;0;0;2;0;0
3840;TAPIA AR I;AR;AR;18/10/2019;2019;0;0;0;1;0;0
15965;RINCON DE VALENTIN N V – Quinta entrega;NÚCLEO;AUTOCONSTRUCCIÓN;18/10/2019;2019;1;0;0;0;0;0
3840;TAPIA N I;NÚCLEO;NÚCLEO;18/10/2019;2019;8;0;0;0;0;0
3840;TAPIA PU I – Tercera entrega;PU;PU;18/10/2019;2019;0;0;3;0;0;0
18894;PIEDRA SOLA REMANENTES N III – PL;NÚCLEO;NÚCLEO;18/10/2019;2019;2;0;0;0;0;0
8623;25 DE AGOSTO PU I – Tercer Entrega;PU;PU;18/10/2019;2019;0;0;3;0;0;0
3632;MONTES N II;NÚCLEO;NÚCLEO;17/10/2019;2019;40;0;0;0;0;0
11621;QUEBRACHO AR III;AR;AR;11/10/2019;2019;0;0;0;2;0;0
11621;QUEBRACHO N V;NÚCLEO;NÚCLEO;11/10/2019;2019;24;0;0;0;0;0
11621;QUEBRACHO N VI;NÚCLEO;NÚCLEO;11/10/2019;2019;8;0;0;0;0;0
11621;QUEBRACHO PU I;PU;PU;11/10/2019;2019;0;0;3;0;0;0
119004;COLONIA ROS DE OGER-FRACCION 50A Y 70A-INC;OTROS;INC;11/10/2019;2019;0;0;0;0;0;0
3730;SAN ANTONIO PU I – Segunda entrega;PU;PU;10/10/2019;2019;0;0;4;0;0;0
3730;SAN ANTONIO AR I – Segunda entrega;AR;AR;10/10/2019;2019;0;0;0;16;0;0
39005;CANELONES-INMUEBLE 837-INC;OTROS;INC;10/10/2019;2019;0;0;0;0;0;0
13621;VICHADERO AR III -PL – Segunda entrega;AR;AR;04/10/2019;2019;0;0;0;0;0;1
13621;VICHADERO N IV;NÚCLEO;NÚCLEO;04/10/2019;2019;38;0;0;0;0;0
3626;MIGUES AUTOCONSTRUCCION N III – Segunda entrega;NÚCLEO;AUTOCONSTRUCCIÓN;15/09/2019;2019;3;0;0;0;0;0
18722;ANSINA N VI;NÚCLEO;NÚCLEO;21/08/2019;2019;28;0;0;0;0;0
18722;ANSINA PU I;PU;PU;21/08/2019;2019;0;0;11;0;0;0
18722;ANSINA AR IV – 2da entrega;AR;AR;21/08/2019;2019;0;0;0;3;0;0
9622;SOLIS DE MATAOJO AUTOCONSTRUCCION -PL;NÚCLEO;AUTOCONSTRUCCIÓN;08/08/2019;2019;2;0;0;0;0;0
3990;CANELON CHICO UP I- 4ta entrega;UP;UP;08/08/2019;2019;0;0;0;0;1;0
13522;TRANQUERAS PU I- 3ra entrega;PU;PU;08/08/2019;2019;0;0;2;0;0;0
13522;TRANQUERAS AR II- 3ra entrega;AR;AR;08/08/2019;2019;0;0;0;1;0;0
9622;SOLIS DE MATAOJO AR I - Segunda entrega;AR;AR;08/08/2019;2019;0;0;0;1;0;0
14422;LASCANO PU I;PU;PU;08/08/2019;2019;0;0;5;0;0;0
9622;SOLIS DE MATAOJO N IV -PL;NÚCLEO;NÚCLEO;08/08/2019;2019;34;0;0;0;0;0
14422;LASCANO N V;NÚCLEO;NÚCLEO;08/08/2019;2019;52;0;0;0;0;0
14422;LASCANO N VI;NÚCLEO;NÚCLEO;08/08/2019;2019;47;0;0;0;0;0
9622;SOLIS DE MATAOJO PU I –  Tercera entrega;PU;PU;08/08/2019;2019;0;0;5;0;0;0
19722;LA CHARQUEADA SANEAMIENTO -PL;SANEAMIENTO;SANEAMIENTO;30/06/2019;2019;0;0;0;0;0;0
8623;25 DE AGOSTO N III;NÚCLEO;NÚCLEO;28/06/2019;2019;8;0;0;0;0;0
8623;25 DE AGOSTO PU I – 2da entrega;PU;PU;28/06/2019;2019;0;0;9;0;0;0
8622;FRAY MARCOS-ASOCIACION PASIVOS-PL;OTROS;CONVENIO;28/06/2019;2019;0;0;0;0;0;0
13522;TRANQUERAS-LA LUCHA-PL;NÚCLEO;NÚCLEO;21/06/2019;2019;10;0;0;0;0;0
10940;AZNAREZ PU I – 2da entrega;PU;PU;06/06/2019;2019;0;0;11;0;0;0
15965;RINCON DE VALENTÍN N V- 4ta entrega;NÚCLEO;AUTOCONSTRUCCIÓN;24/05/2019;2019;4;0;0;0;0;0
4968;RAMÓN TRIGO - 2da entrega;OTROS;CONVENIO;03/04/2019;2019;0;0;0;0;0;0
2725;SEQUEIRA UP II – 2da entrega;UP;UP;29/03/2019;2019;0;0;0;0;17;0
29004;COLONIA JUAN PABLO TERRA -INC;OTROS;INC;29/03/2019;2019;0;0;0;0;0;0
3630;SOCA-AUTOCONSTRUCCION;NÚCLEO;AUTOCONSTRUCCIÓN;15/03/2019;2019;2;0;0;0;0;0
3626;MIGUES AUTOCONSTRUCCION N III;NÚCLEO;AUTOCONSTRUCCIÓN;15/03/2019;2019;3;0;0;0;0;0
15965;RINCON DE VALENTIN N V - 3ra entrega;NÚCLEO;AUTOCONSTRUCCIÓN;22/02/2019;2019;2;0;0;0;0;0
6521;EL CARMEN PU I – 2da entrega;PU;PU;22/02/2019;2019;0;0;3;0;0;0
6521;EL CARMEN-BPS-MVOTMA;NÚCLEO;CONVENIO;22/02/2019;2019;7;0;0;0;0;0
18829;PASO BONILLA PU I – 2da Entrega;PU;PU;21/12/2018;2018;0;0;1;0;0;0
18220;TACUAREMBÓ AR I (ALR) – 2da Entrega;AR;AR;21/12/2018;2018;0;0;0;1;0;0
13621;VICHADERO AR III;AR;AR;21/12/2018;2018;0;0;0;2;0;0
13522;TRANQUERAS PU I – 2da Entrega;PU;PU;21/12/2018;2018;0;0;1;0;0;0
13522;TRANQUERAS AR II – 2da Entrega;AR;AR;21/12/2018;2018;0;0;0;3;0;0
18980;SAUCE DE BATOVÍ N III;NÚCLEO;AUTOCONSTRUCCIÓN;21/12/2018;2018;6;0;0;0;0;0
13522;TRANQUERAS N VII;NÚCLEO;NÚCLEO;21/12/2018;2018;49;0;0;0;0;0
13621;VICHADERO PU I – Segunda Entrega;PU;PU;21/12/2018;2018;0;0;13;0;0;0
6521;EL CARMEN PU I;PU;PU;21/12/2018;2018;0;0;9;0;0;0
13833;MOIRONES UP I ( Atendido desde Vichadero AR III) – Segunda entrega;UP;UP;21/12/2018;2018;0;0;0;0;1;0
179003;COLONIA FRANCISCO ENCARNACION BENITEZ II – INC;OTROS;INC;21/12/2018;2018;0;0;0;0;0;0
189007;TACUAREMBO-INMUEBLE 492-CERRO DE LA ALDEA-INC;OTROS;INC;21/12/2018;2018;0;0;0;0;0;0
12797;ALGORTA N IV – AUTOCONSTRUCCIÓN;NÚCLEO;AUTOCONSTRUCCIÓN;20/12/2018;2018;6;0;0;0;0;0
12797;ALGORTA PU I;PU;PU;20/12/2018;2018;0;0;4;0;0;0
6721;CARLOS REYLES PU (saneamiento);PU;PU;20/12/2018;2018;0;0;0;0;0;0
3528;TALA UP V – Cuarta entrega;UP;UP;18/12/2018;2018;0;0;0;0;14;0
8521;CASUPÁ PU I;PU;PU;18/12/2018;2018;0;0;17;0;0;0
8622;FRAY MARCOS PU I;PU;PU;18/12/2018;2018;0;0;11;0;0;0
8825;REBOLEDO PU I;PU;PU;18/12/2018;2018;0;0;1;0;0;0
9622;SOLIS DE MATAOJO AR I;AR;AR;10/12/2018;2018;0;0;0;2;0;0
99002;AGUAS BLANCAS UP I ** (desde Solis);AR;AR;10/12/2018;2018;0;0;0;3;0;0
3840;TAPIA PU I – Segunda entrega;PU;PU;10/12/2018;2018;0;0;3;0;0;0
3840;ESTACION TAPIA UP – Segunda entrega;UP;UP;10/12/2018;2018;0;0;0;0;3;0
9622;SOLIS DE MATAOJO PU I- Segunda entrega;PU;PU;10/12/2018;2018;0;0;8;0;0;0
39004;COLONIA BERNARDO P. BERRO- INC;OTROS;INC;10/12/2018;2018;0;0;0;0;0;0
2621;BALTASAR BRUM VI;NÚCLEO;NÚCLEO;30/11/2018;2018;42;0;0;0;0;0
17521;CARDONA- ASSE- POLICLINICA;OTROS;CONVENIO;30/11/2018;2018;0;0;0;0;0;0
15965;RINCON DE VALENTIN N V – Segunda entrega;NÚCLEO;AUTOCONSTRUCCIÓN;19/10/2018;2018;2;0;0;0;0;0
8623;25 DE AGOSTO N II;NÚCLEO;NÚCLEO;19/10/2018;2018;29;0;0;0;0;0
8623;25 DE AGOSTO PU I;PU;PU;19/10/2018;2018;0;0;5;0;0;0
11937;ORGOROSO PU I;PU;PU;19/10/2018;2018;0;0;4;0;0;0
16925;CAPURRO N III – Tercer entrega;NÚCLEO;AUTOCONSTRUCCIÓN;24/09/2018;2018;3;0;0;0;0;0
18722;ANSINA- INMUEBLE 792 -INC;OTROS;INC;24/09/2018;2018;0;0;0;0;0;0
19722;LA CHARQUEADA CONVENIO MTOP;OTROS;CONVENIO;24/09/2018;2018;0;0;0;0;0;0
3990;CANELON CHICO UP I – ENTREGA PARCIAL 3;UP;UP;31/08/2018;2018;0;0;0;0;1;0
13220;ALR RIVERA UP IV (2da Entrega);UP;UP;31/08/2018;2018;0;0;0;0;6;0
99004;COLONIA JUAN JOSE MOROSOLI – INC;OTROS;INC;31/08/2018;2018;0;0;0;0;0;0
119004;COLONIA ROS DE OGER-FRACCION 10-LOTES 24 Y 26- INC;OTROS;INC;31/08/2018;2018;0;0;0;0;0;0
18829;PASO BONILLA N II – Segunda entrega;NÚCLEO;AUTOCONSTRUCCIÓN;21/06/2018;2018;1;0;0;0;0;0
18829;PASO BONILLA PU I;PU;PU;21/06/2018;2018;0;0;1;0;0;0
15965;RINCON DE VALENTIN N V;NÚCLEO;AUTOCONSTRUCCIÓN;21/06/2018;2018;3;0;0;0;0;0
11827;PIEDRAS COLORADAS PU I;PU;PU;25/05/2018;2018;0;0;2;0;0;0
11827;PIEDRAS COLORADAS N IV;NÚCLEO;NÚCLEO;25/05/2018;2018;51;0;0;0;0;0
15120;SITRACITA;NÚCLEO;CONVENIO;22/05/2018;2018;42;0;0;0;0;0
16925;CAPURRO N III – Segunda entrega;NÚCLEO;AUTOCONSTRUCCIÓN;18/05/2018;2018;3;0;0;0;0;0
18722;ANSINA AR IV ( desde PUEBLO DE BARRO AR);AR;AR;17/05/2018;2018;0;0;0;4;0;0
18831;PUEBLO DE BARRO N I;NÚCLEO;NÚCLEO;17/05/2018;2018;17;0;0;0;0;0
17823;RISSO AR IV;AR;AR;15/05/2018;2018;0;0;0;1;0;0
17823;RISSO N III;NÚCLEO;NÚCLEO;15/05/2018;2018;34;0;0;0;0;0
17823;RISSO PU I;PU;PU;15/05/2018;2018;0;0;15;0;0;0
17721;EGAÑA PU I (desde Risso PU I);PU;PU;15/05/2018;2018;0;0;3;0;0;0
5622;FLORENCIO SANCHEZ – CARDONA UP I;UP;UP;15/05/2018;2018;0;0;0;0;15;0
18829;PASO BONILLA N II;NÚCLEO;AUTOCONSTRUCCIÓN;11/05/2018;2018;5;0;0;0;0;0
3990;CANELON CHICO UP I – ENTREGA PARCIAL 2;UP;UP;11/05/2018;2018;0;0;0;0;19;0
3528;TALA UP V – Tercer Entrega;UP;UP;11/05/2018;2018;0;0;0;0;13;0
2522;TOMAS GOMENSORO AR II;AR;AR;04/05/2018;2018;0;0;0;2;0;0
2522;TOMAS GOMENSORO PU I;PU;PU;04/05/2018;2018;0;0;23;0;0;0
9621;MARISCALA PU;PU;PU;30/04/2018;2018;0;0;9;0;0;0
9621;MARISCALA AR;AR;AR;30/04/2018;2018;0;0;0;6;0;0
139005;COL. GAZAPINA – INC;OTROS;INC;19/04/2018;2018;0;0;0;0;0;0
11937;ORGOROSO V;NÚCLEO;NÚCLEO;13/04/2018;2018;18;0;0;0;0;0
139003;PASO DEL TAPADO UP I;UP;UP;30/03/2018;2018;0;0;0;0;7;0
13220;ALR RIVERA UP IV (1era Entrega);UP;UP;30/03/2018;2018;0;0;0;0;22;2
18220;REP SECCIONAL 1ª TACUAREMBÓ;OTROS;CONVENIO;20/03/2018;2018;0;0;0;0;0;0
