CODLOC,H_TOT,P_TOT,H_PAR,P_TOT_PAR
19942,24,82,24,82
19947,6,16,6,16
19955,9,18,9,18
19956,2319,6782,2319,6782
19960,20,54,20,54
19961,7,21,7,21
19962,3,8,3,8
19963,13,39,13,39
19964,12,34,12,34
19965,10,29,10,29
19966,14,40,14,40
19967,16,41,14,38
19968,16,55,16,55
19969,21,72,21,72
19970,7,25,7,25
19971,37,116,37,116
