CODCOMP,H_TOT,P_TOT,H_PAR,P_TOT_PAR
107010003,115,261,115,261
107010004,136,304,136,304
107010005,89,231,89,231
107010006,132,293,132,293
107010007,32,54,32,54
107010008,37,74,37,74
107010009,111,210,111,210
107010400,0,0,0,0
107010401,0,0,0,0
107010402,0,0,0,0
107102001,89,193,89,193
107102002,98,180,98,180
107102003,70,141,70,141
107102006,0,0,0,0
107102007,123,284,122,273
107102008,63,152,61,134
107103002,94,183,94,183
107103003,93,196,92,186
107103005,236,453,236,453
107103006,121,215,121,215
107104001,39,93,38,73
107104002,27,73,26,63
107104003,98,187,98,187
107104004,114,199,114,199
107104005,169,274,169,274
107104006,104,222,102,209
107104007,70,160,69,143
107105001,153,270,153,270
107105002,88,165,88,165
107105003,267,396,267,396
107105005,210,314,210,314
107106001,146,245,146,245
107106002,0,0,0,0
107106003,93,220,93,220
107106004,73,231,71,149
107106005,110,255,107,180
107106006,171,376,171,376
107106007,28,71,27,63
107107001,101,213,100,178
107107002,63,108,63,108
107107003,71,149,71,149
107107004,147,329,146,299
107107005,127,247,127,247
107107006,11,26,11,26
107107007,38,74,38,74
107108001,49,104,49,104
107108002,80,198,78,161
107108003,81,150,81,150
107108004,38,103,37,75
107108005,35,76,35,76
107108006,55,119,55,119
107108007,0,0,0,0
107108008,93,212,92,204
107202004,0,0,0,0
107202005,45,96,45,96
107202009,74,148,74,148
107202010,58,107,58,107
107202011,209,359,209,359
107202012,94,193,94,193
107203001,64,147,63,126
107203004,81,132,81,132
107203007,252,457,251,449
107203010,173,360,173,360
107204008,24,99,23,94
107204009,166,246,166,246
107204010,97,211,97,211
107204011,0,0,0,0
107204012,171,330,171,330
107205007,88,222,87,198
107205008,45,88,45,88
107205009,49,102,49,102
107205010,169,279,168,271
107205011,1,14,0,0
107205012,131,272,131,272
107205013,22,79,21,42
107205400,0,0,0,0
107205500,0,0,0,0
107205600,8,17,8,17
107205800,105,175,105,175
107206008,151,320,151,320
107206009,81,168,80,153
107206010,97,295,95,201
107206011,0,0,0,0
107206012,37,87,37,87
107206013,100,214,100,214
107206014,123,252,122,245
107206015,35,58,35,58
107206016,62,147,61,139
107207008,60,145,60,145
107207009,106,246,106,246
107207010,130,270,130,270
107207011,100,232,100,232
107207012,76,195,76,195
107207013,100,238,100,238
107208009,95,172,94,168
107208010,108,252,107,239
107208011,61,134,61,134
107208012,0,0,0,0
107208013,0,0,0,0
107208014,69,146,69,146
107208015,101,223,101,223
107303008,145,305,142,272
107303009,91,183,89,158
107303011,245,423,245,423
107303012,126,228,126,228
108001001,0,0,0,0
108001002,87,188,87,188
108001003,0,0,0,0
108001004,0,0,0,0
108001005,25,49,25,49
108001006,0,0,0,0
108001007,0,0,0,0
108001008,0,0,0,0
108001009,0,0,0,0
108001010,0,0,0,0
108002003,20,60,20,60
108002004,48,146,48,146
108002005,35,81,35,81
108002007,115,290,115,290
108002008,36,81,36,81
108002009,23,107,22,63
108002010,11,26,11,26
108002011,0,0,0,0
108002012,61,166,59,126
108002013,32,72,31,71
108002400,0,0,0,0
108002402,0,0,0,0
108002600,5,14,5,14
108002601,98,228,98,228
108002800,72,186,71,171
108003001,14,51,13,34
108003002,31,88,31,88
108003003,224,529,223,503
108003004,27,58,27,58
108003005,51,126,51,126
108003006,52,131,52,131
108003007,75,193,75,193
108003008,41,95,41,95
108003009,27,57,27,57
108003010,36,75,35,65
108003011,57,119,57,119
108003012,30,62,30,62
108003013,72,151,72,151
108003014,0,0,0,0
108004001,47,154,46,127
108004003,40,97,40,97
108004004,71,171,71,171
108004005,13,36,13,36
108004006,26,90,25,65
108004007,12,31,12,31
108004008,14,32,14,32
108004009,38,110,38,110
108004010,22,65,22,65
108004011,25,51,25,51
108004012,26,61,26,61
108004013,23,62,23,62
108004014,19,37,19,37
108004015,0,0,0,0
108004016,47,115,47,115
108004400,0,0,0,0
108004401,0,0,0,0
108004600,39,90,39,90
108006001,13,72,10,28
108006002,100,252,97,185
108006003,48,92,48,92
108006004,2,3,2,3
108006005,13,38,12,31
108006007,0,0,0,0
108006008,0,0,0,0
108006011,35,74,35,74
108006012,41,101,41,101
108006013,27,92,27,92
108006400,0,0,0,0
108006401,0,0,0,0
108006402,0,0,0,0
108006403,0,0,0,0
108006404,0,0,0,0
108006406,0,0,0,0
108006408,0,0,0,0
108006409,0,0,0,0
108006411,0,0,0,0
108006413,0,0,0,0
108006414,0,0,0,0
108006600,0,0,0,0
108007001,13,27,13,27
108007002,14,33,14,33
108007003,63,147,63,147
108007004,16,29,16,29
108007005,14,41,14,41
108007006,30,66,30,66
108007007,139,328,139,328
108007008,35,86,35,86
108007009,24,57,24,57
108008002,0,0,0,0
108008004,0,0,0,0
108008005,5,8,5,8
108008006,230,512,230,512
108008007,0,0,0,0
108008008,0,0,0,0
108008009,0,0,0,0
108008010,0,0,0,0
108008800,1,5,1,5
108008801,0,0,0,0
108009001,0,0,0,0
108009002,7,19,7,19
108009003,8,19,8,19
108009004,0,0,0,0
108009005,13,28,13,28
108009006,34,70,33,62
108009007,48,130,47,126
108009008,12,36,12,36
108009009,1,1,1,1
108010003,1,1,1,1
108010004,0,0,0,0
108010005,0,0,0,0
108010006,0,0,0,0
108010007,96,194,96,194
108010008,0,0,0,0
108010009,196,425,196,425
108010010,2,4,2,4
108010011,14,26,14,26
108010012,1,5,1,5
108010400,0,0,0,0
108010401,0,0,0,0
108010402,0,0,0,0
108010600,0,0,0,0
108012003,99,210,99,210
108012004,1,3,1,3
108012006,90,165,90,165
108012007,16,75,15,36
108012008,32,103,31,89
108012009,42,77,42,77
108012010,0,0,0,0
108012011,54,107,54,107
108012012,59,124,58,106
108012400,0,0,0,0
108012401,0,0,0,0
108012402,0,0,0,0
108012403,0,0,0,0
108012601,54,124,53,122
108012700,23,62,23,62
108013001,81,173,80,163
108013002,53,120,53,120
108013003,44,116,44,116
108013004,73,148,73,148
108013005,0,0,0,0
108013006,22,43,22,43
108013007,47,127,47,127
108013008,10,17,10,17
108013009,2,4,2,4
108013011,27,71,27,71
108013012,71,126,71,126
108013013,44,114,44,114
108013400,0,0,0,0
108013600,52,128,52,128
108105001,27,84,27,84
108105002,0,0,0,0
108105003,2,6,2,6
108105004,39,113,39,113
108105005,6,13,6,13
108105006,72,156,72,156
108105007,46,131,46,131
108105008,4,7,4,7
108105009,0,0,0,0
108105010,60,121,60,121
108105012,73,163,73,163
108105013,62,133,62,133
108105400,0,0,0,0
108111001,20,37,20,37
108111003,176,383,176,383
108111005,124,316,124,316
108111006,143,337,143,337
108111007,84,245,79,188
108111008,5,13,5,13
108111009,204,458,204,458
108111012,26,82,25,67
108111013,67,120,67,120
108111018,0,0,0,0
108111400,0,0,0,0
108111401,0,0,0,0
108111402,0,0,0,0
108111600,7,66,3,6
108111700,26,64,26,64
108114001,72,151,72,151
108114002,39,79,38,74
108114003,48,95,48,95
108114004,8,25,8,25
108114005,52,103,52,103
108114006,25,78,25,78
108114007,108,244,107,231
108114011,30,150,27,87
108114012,68,140,68,140
108114013,0,0,0,0
108114014,40,75,40,75
108205011,38,72,38,72
108205014,14,45,14,45
108205015,78,215,77,194
108205016,54,158,52,142
108205017,19,54,18,51
108205018,0,0,0,0
108205019,27,69,27,69
108205020,39,103,38,85
108205021,50,125,50,125
108211011,68,159,68,159
108211014,79,181,79,181
108211015,60,116,60,116
108211016,30,65,30,65
108211017,32,98,31,75
108211019,206,455,206,455
108211020,15,41,15,41
108211400,0,0,0,0
108211401,0,0,0,0
108211402,0,0,0,0
108211403,0,0,0,0
108211600,159,332,159,332
108214009,77,200,77,200
108214010,162,288,162,288
108214015,138,287,138,287
108214400,0,0,0,0
108214600,74,169,74,169
108314016,66,199,65,155
108314017,45,99,45,99
108314018,51,90,51,90
108314019,46,105,46,105
108314020,33,76,32,68
108314021,45,101,45,101
108314022,121,265,120,215
108314400,0,0,0,0
108314600,146,313,144,281
109001001,85,249,85,249
109001002,85,262,85,262
109001004,41,159,41,159
109001023,1,3,1,3
109001025,3,10,3,10
109001026,27,97,27,97
109001603,12,39,12,39
109001604,28,103,28,103
109001800,29,82,29,82
109001801,38,165,38,165
109001802,7,20,7,20
109001803,1,3,1,3
